"State","Drunk_Driving","Seatbelt","Pneumonia_Vaccine","Flu_Shot","Maximum_Alcohol","Average_Alcohol","Smoker","BMI","Diabetes","Kidney_Disease","COPD","Asthma","Stroke","Heart_Disease","Heart_Attack","Excercise","Medical_Cost","Poor_Health","Mental_Health","Physical_Health","General_Health","Margin","Gov_Male","Gov_Rep"
"NM",0.0198412698412698,1.13156408808583,0.586125808348031,0.453107344632768,4.18024032042724,2.22533333333333,0.463222908478383,27.229639617797,0.198473282442748,0.0399780941949617,0.101973684210526,0.142545057345713,0.0475929978118162,0.0676195711929632,0.0764156129741616,0.754223433242507,0.0889737991266376,8.34607218683652,4.45161290322581,6.72285870158211,2.73213311511184,-0.0930158986864822,FALSE,FALSE
"NV",0.0320366132723112,1.13023255813953,0.589435774309724,0.526744186046512,3.26004728132388,2.62028301886792,0.508650519031142,27.7201708246641,0.21160409556314,0.0627853881278539,0.136830102622577,0.119047619047619,0.0537142857142857,0.0802752293577982,0.0990888382687927,0.728717366628831,0.0897727272727273,7.76778242677824,4.48240635641317,7.32045454545455,2.74204545454545,-0.025874188399704,TRUE,FALSE
"NY",0.0661215282673058,1.159785483397,0.50588415100107,0.382651200116729,4.83586005830904,3.42900564481112,0.469827274698273,28.2567700694221,0.179893447727115,0.0474670367800139,0.114678899082569,0.144690296178123,0.0532445923460899,0.0789271495425019,0.0765966328092389,0.709349030470914,0.0597201053069142,7.45284831846259,4.38723137909451,6.54994100090234,2.61205403533079,-0.235448369235475,TRUE,FALSE
"OH",0.0405889375248707,1.25703472107948,0.556678457133232,0.483079941147621,4.70840064620355,2.95905258932156,0.45911539089277,28.9881079328176,0.226896112173359,0.0557864450127877,0.139048531289911,0.124022346368715,0.0664541832669323,0.0925896158173927,0.0900814566363201,0.669536107125777,0.064274322169059,7.67847573682644,4.72798340778558,6.86892042736406,2.77949864282293,0.0853536915427181,TRUE,TRUE
"OK",0.0088809946714032,1.16368876080692,0.641676505312869,0.614146060954572,3.82032667876588,2.23230490018149,0.450486548368632,28.1313330153457,0.238962472406181,0.0638534147695725,0.134519177320734,0.126106194690265,0.0702433628318584,0.124372559955382,0.10494169905608,0.661691542288557,0.0541137493097736,7.13264248704663,4.25249169435216,7.44745575221239,2.85271317829457,0.386094744766563,TRUE,TRUE
"OR",0.0537634408602151,1.075,0.616228070175439,0.505711318795431,4.53690036900369,2.48154981549816,0.424714434060228,27.4890183330537,0.177304964539007,0.054026503567788,0.0897043832823649,0.143002028397566,0.0428134556574924,0.0763747454175153,0.0641547861507128,0.791075050709939,0.0557244174265451,7.40148698884758,4.51115618661258,6.59837728194726,2.54655870445344,-0.123116778901087,FALSE,FALSE
"PA",0.0412044374009509,1.37207488299532,0.556360708534622,0.528316524437549,4.43949044585987,2.77337559429477,0.445131375579598,28.5759409232194,0.216317365269461,0.054176072234763,0.108352144469526,0.120689655172414,0.0614232209737828,0.087218045112782,0.0803906836964688,0.703066566940913,0.0607651912978245,7.98480662983425,4.62762762762763,7.12799401197605,2.78982797307405,0.00751071614980328,TRUE,FALSE
"RI",0.0469591993841416,1.14388813712224,0.575814832309873,0.474157303370787,3.746233148295,2.41798107255521,0.488206497552292,27.6741397930825,0.175658178679327,0.0389779125162408,0.10412147505423,0.154545454545455,0.0605012964563526,0.0734782608695652,0.0783210731285158,0.728331177231565,0.0551486428263679,7.30543187889581,3.71941201902291,5.8804677349502,2.539059128183,-0.166214081853196,FALSE,FALSE
"SC",0.0422401518747034,1.11394028210295,0.57685009487666,0.529637760702525,4.65418287937743,3.04140587385652,0.447195921340131,28.6871848673299,0.235147634293846,0.0567148207597646,0.116100178890877,0.12711713317882,0.061831789023521,0.090892696122633,0.0827376697641172,0.68172119487909,0.0780748663101604,7.78691983122363,4.51553571428571,7.09133071708883,2.76669046769011,0.14920512721048,TRUE,TRUE
"SD",0.0875379939209726,1.47477131897315,0.552720565631725,0.467746686303387,5.76060797973401,3.38427393785669,0.443628890193776,28.8119736347962,0.180826636050517,0.047783534830167,0.0766560601677755,0.108651911468813,0.0588573069193224,0.081834010446895,0.0870949074074074,0.707577067127629,0.0597872951997701,6.13820156910078,3.29815455594002,5.55956158061725,2.61401493394601,0.319437161588625,FALSE,TRUE
"TN",0.012448132780083,1.14957264957265,0.576134699853587,0.395184135977337,4.2012987012987,3.29525862068966,0.489421720733427,28.6791878522883,0.2457798784605,0.0679809653297077,0.145380434782609,0.14604462474645,0.0819228165199729,0.117445054945055,0.113605442176871,0.611336032388664,0.0952702702702703,9.77434679334917,4.98106828938472,9.05412719891746,2.95669824086604,0.27248686090524,TRUE,TRUE
"TX",0.0522591181273816,1.10981944100915,0.576461577738065,0.406165891852214,4.92828685258964,3.15795454545455,0.391895171074982,28.3680592338258,0.228437132784959,0.0613352205708894,0.110403397027601,0.135497529992943,0.0612341026848799,0.0972651605231867,0.0834512022630834,0.692904135338346,0.0899272129607889,8.19704660821412,4.66070167176831,7.52823529411765,2.76307112576543,0.0942645115594398,TRUE,TRUE
"UT",0.0380710659898477,1.23606729758149,0.53329602686066,0.450578338590957,5.55613577023499,3.109375,0.236828377673448,27.8176791168246,0.16632548618219,0.0446841294298921,0.0630769230769231,0.125831202046036,0.0403472931562819,0.0616966580976864,0.0602655771195097,0.776927003573252,0.0674157303370786,6.72150735294118,4.14431934493347,6.01327885597548,2.51591375770021,0.247673164169816,TRUE,TRUE
"VA",0.0223492723492724,1.15536437246964,0.551760104302477,0.526368912440071,4.15972222222222,2.46428571428571,0.434432418827083,28.290224842133,0.20310574315997,0.0481125092524056,0.100123915737299,0.125185185185185,0.0578635014836795,0.072262229947852,0.0745679012345679,0.73540280857354,0.0728422210005498,7.60604534005038,3.80661891825142,5.97804637395165,2.6474216629657,-0.056527525543094,TRUE,FALSE
"VT",0.0802603036876356,1.20186136071887,0.519808743169399,0.461144867284938,4.25414364640884,2.80351262349067,0.471835443037975,27.473357389439,0.136265097553422,0.0300868486352357,0.0902885510394043,0.138380390940118,0.0434108527131783,0.0586034912718204,0.0596643878185208,0.771490414347557,0.0557966522008679,6.58596713021492,3.62034739454094,5.51193798449612,2.47151702786378,-0.303728526476407,TRUE,TRUE
"WA",0.0322927879440258,1.08764088612515,0.601051992716974,0.531365313653137,3.9781181619256,2.77374909354605,0.43545908567038,27.6743364483415,0.168535127055306,0.0518018018018018,0.0860902255639098,0.144142455482662,0.0566604127579737,0.0834903882397286,0.0748452447945976,0.805986903648269,0.0535982008995502,7.40035650623886,4.0168887220867,6.74681647940075,2.57706696595585,-0.175738624001295,TRUE,FALSE
"WI",0.0845070422535211,1.23694779116466,0.559045956951716,0.401026811180833,3.82464929859719,2.68986083499006,0.450648618161309,28.6268754514322,0.161971830985915,0.0515463917525773,0.0813449023861171,0.09534127843987,0.0477482365708085,0.0768811341330425,0.0809342748506247,0.736156351791531,0.0677874186550976,5.60710553814002,3.37194127243067,5.67010869565217,2.63739837398374,0.0081597807605943,TRUE,FALSE
"WV",0.0619195046439628,1.2067160924553,0.568811438784629,0.562691131498471,4.22402597402597,3.01618122977346,0.473249238799478,29.1196508555529,0.263270547945205,0.0743766122098022,0.19518486672399,0.145618556701031,0.0733590733590734,0.133564614050304,0.12414089347079,0.664668094218415,0.0987124463519313,9.99697885196375,5.33404894804637,8.9576017130621,2.9631217838765,0.443221045025916,TRUE,TRUE
"WY",0.0666666666666667,1.34344335414808,0.534648921523635,0.474598930481283,5.20805369127517,3.10636277302944,0.444988864142539,27.7334691251455,0.175131348511384,0.0417582417582418,0.0951754385964912,0.107361963190184,0.0530004380201489,0.068614431164232,0.072967032967033,0.745836985100789,0.0754716981132075,6.00718132854578,3.42368421052632,5.85094256904866,2.60175438596491,0.514106392583076,TRUE,TRUE
